  EVENTID,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG
611402865,DJA      ,1/7/2015,2:41:51,-0.24,124.68,10,      ,DJA      ,MLv   ,3.6
606931022,IDC      ,1/7/2015,36:55.6,-6.745,129.7249,141,      ,IDC      ,mb    ,3.6
611402864,DJA      ,1/7/2015,3:58:53,-3.25,139.67,78,      ,DJA      ,MLv   ,3.1
606931023,ISC      ,1/7/2015,50:19.0,-6.0666,130.6764,124,TRUE  ,ISC      ,mb    ,4.1
606931026,IDC      ,1/7/2015,16:58.6,-6.5508,129.3796,101.3,      ,IDC      ,mb    ,3.2
606931027,ISC      ,1/7/2015,18:01.8,1.9748,96.5834,28,TRUE  ,ISC      ,mb    ,3.4
606931048,ISC      ,1/7/2015,56:18.8,-2.9346,139.6901,46,TRUE  ,ISC      ,mb    ,3.9
606931051,IDC      ,1/7/2015,23:14.2,-6.5426,128.7429,133.3,      ,IDC      ,mb    ,3
606931052,ISC      ,1/7/2015,30:50.1,-6.4119,103.8299,48,TRUE  ,ISC      ,mb    ,4.1
611402863,DJA      ,1/7/2015,31:34.8,-3.23,128.46,10,      ,DJA      ,MLv   ,3.5
606506245,ISC      ,1/8/2015,29:34.0,-2.5421,140.0976,36.7,      ,ISC      ,mb    ,4.6
611402876,DJA      ,1/8/2015,30:32.5,-7.42,106.68,18,      ,DJA      ,MLv   ,3.5
606931072,ISC      ,1/8/2015,37:26.6,-10.664,120.6178,31,TRUE  ,ISC      ,mb    ,4.3
611402875,DJA      ,1/8/2015,37:39.8,1.34,122.33,10,      ,DJA      ,MLv   ,3.2
606931086,IDC      ,1/8/2015,30:08.1,-7.2232,129.4788,117,      ,IDC      ,mb    ,3
611402874,DJA      ,1/8/2015,56:38.8,-8.68,114.96,75,      ,DJA      ,MLv   ,3.4
606931089,ISC      ,1/8/2015,00:48.9,-6.9448,132.565,35,TRUE  ,ISC      ,mb    ,4.1
606931091,ISC      ,1/8/2015,19:02.6,-2.0967,139.7846,10,TRUE  ,ISC      ,mb    ,3.7
611402873,DJA      ,1/8/2015,26:43.1,-2.82,129.19,10,      ,DJA      ,MLv   ,3
606931092,IDC      ,1/8/2015,34:39.0,-6.7186,129.7702,154,      ,IDC      ,mb    ,3
606931102,ISC      ,1/8/2015,16:11.0,-8.5004,122.4626,10,TRUE  ,IDC      ,mb    ,3.7
611402872,DJA      ,1/8/2015,17:54:24,-9.27,117.94,23,      ,DJA      ,MLv   ,3
611402871,DJA      ,1/8/2015,08:37.4,-8.23,117.61,16,      ,DJA      ,MLv   ,2.6
611402870,DJA      ,1/8/2015,08:50.1,-9.35,111.71,12,      ,DJA      ,MLv   ,3.7
611402869,DJA      ,1/8/2015,20:26.8,-9.43,111.67,10,      ,DJA      ,MLv   ,3.7
606931116,ISC      ,1/8/2015,47:28.8,1.9432,126.5008,47,TRUE  ,ISC      ,mb    ,4
606931117,ISC      ,1/8/2015,11:08.3,-7.896,127.7411,150,TRUE  ,ISC      ,mb    ,3.8
606506587,ISC      ,1/9/2015,03:58.2,-1.145,127.4121,31,TRUE  ,ISC      ,mb    ,4.8
611402882,DJA      ,1/9/2015,12:52.5,-2.11,120.59,10,      ,DJA      ,MLv   ,3.2
611402881,DJA      ,1/9/2015,51:16.5,-0.25,122.95,79,      ,DJA      ,MLv   ,3.7
606931126,ISC      ,1/9/2015,04:16.4,5.4739,95.8628,200,TRUE  ,ISC      ,mb    ,3.4
611402880,DJA      ,1/9/2015,7:36:16,-2.6,100.91,28,      ,DJA      ,MLv   ,2.9
606931140,ISC      ,1/9/2015,59:33.8,-3.0043,100.0118,27,TRUE  ,ISC      ,mb    ,4.3
